sentence1,sentence2,label
အခန်း (၁၁) တွင် ပုဒ်မ ဘယ်နှစ်ခု ပါဝင်သနည်း။,အခန်း (၁၁) တွင် ပုဒ်မ ပေါင်း ၂၃ ခု (ပုဒ်မ ၄၁၀ မှ ၄၃၂ ထိ) ပါဝင်သည်။,1
အခန်း (၁၂) တွင် ပုဒ်မ ဘယ်နှစ်ခု ပါဝင်သနည်း။,အခန်း (၁၂) တွင် ပုဒ်မ ပေါင်း ၄ ခု (ပုဒ်မ ၄၃၃ မှ ၄၃၆ ထိ) ပါဝင်သည်။,1
အခန်း (၁၃) တွင် ပုဒ်မ ဘယ်နှစ်ခု ပါဝင်သနည်း။,အခန်း (၁၃) တွင် ပုဒ်မ ပေါင်း ၄ ခု (ပုဒ်မ ၄၃၇ မှ ၄၄၀ ထိ) ပါဝင်သည်။,1
အခန်း (၁၄) တွင် ပုဒ်မ ဘယ်နှစ်ခု ပါဝင်သနည်း။,အခန်း (၁၄) တွင် ပုဒ်မ ပေါင်း ၈ ခု (ပုဒ်မ ၄၄၁ မှ ၄၄၈ ထိ) ပါဝင်သည်။,1
အခန်း (၁၅) တွင် ပုဒ်မ ဘယ်နှစ်ခု ပါဝင်သနည်း။,အခန်း (၁၅) တွင် ပုဒ်မ ပေါင်း ၉ ခု (ပုဒ်မ ၄၄၉ မှ ၄၅၇ ထိ) ပါဝင်သည်။,1
၂၀၀၈ ဖွဲ့စည်းပုံအခြေခံဥပဒေတွင် အခန်း ဘယ်နှစ်ခန်းပါလဲ ပြောပြပါ,ပြည်ထောင်စုသမ္မတမြန်မာနိုင်ငံတော် ဖွဲ့စည်းပုံအခြေခံဥပဒေ (၂၀၀၈ ခုနှစ်)တွင် အခန်း ၁၅ ခန်း ပါဝင်ပါသည်။,1
၂၀၀၈ ဖွဲ့စည်းပုံအခြေခံဥပဒေတွင် ပုဒ်မ  ဘယ်နှစ်ခု ပါလဲ ပြောပြပါ,ပြည်ထောင်စုသမ္မတမြန်မာနိုင်ငံတော် ဖွဲ့စည်းပုံအခြေခံဥပဒေ (၂၀၀၈ ခုနှစ်)တွင် ပုဒ်မ ပေါင်း ၄၅၇ ခု(ပုဒ်မ ၁ မှ ပုဒ်မ ၄၅၇ ထိ) ပါဝင်သည်။,1
၂၀၀၈ ဖွဲ့စည်းပုံအခြေခံဥပဒေတွင် အခန်း ဘယ်နှစ်ခန်း၊ ပုဒ်မ  ဘယ်နှစ်ခု ပါလဲ ပြောပြပါ,ပြည်ထောင်စုသမ္မတမြန်မာနိုင်ငံတော် ဖွဲ့စည်းပုံအခြေခံဥပဒေ (၂၀၀၈ ခုနှစ်) တွင် စုစုပေါင်း အခန်း (၁၅) ခန်း ပါဝင်ပြီး ပုဒ်မပေါင်း (၄၅၇) ခု ပါဝင်ပါသည်။,1
ဖွဲ့စည်းပုံအခြေခံဥပဒေ(၂၀၀၈) ကို ဘယ်လိုအကြောင်းအရာတွေနဲ့ ဖွဲ့စည်းထားလဲဆိုတာ အကျဉ်းချုပ်ပြောပြပါ,ဖွဲ့စည်းပုံအခြေခံဥပဒေ (၂၀၀၈) ကို အခန်း (၁၅) ခန်းဖြင့် ဖွဲ့စည်းထားပါသည်။ ၎င်းတို့မှာ - (၁) နိုင်ငံတော်အခြေခံမူများ၊ (၂) နိုင်ငံတော်ဖွဲ့စည်းတည်ဆောက်ပုံ၊ (၃) နိုင်ငံတော်သမ္မတနှင့် ဒုတိယသမ္မတများ၊ (၄) ဥပဒေပြုရေး၊ (၅) အုပ်ချုပ်ရေး၊ (၆) တရားစီရင်ရေး၊ (၇) တပ်မတော်၊ (၈) နိုင်ငံသား၊ နိုင်ငံသားများ၏ မူလအခွင့်အရေးနှင့် တာဝန်များ၊ (၉) ရွေးကောက်တင်မြှောက်ခြင်း၊ (၁၀) နိုင်ငံရေးပါတီများ၊ (၁၁) အရေးပေါ်ကာလဆိုင်ရာပြဋ္ဌာန်းချက်များ၊ (၁၂) ဖွဲ့စည်းပုံအခြေခံဥပဒေပြင်ဆင်ခြင်း၊ (၁၃) နိုင်ငံတော်အလံ၊ အထိမ်းအမှတ်တံဆိပ်၊ သီချင်းနှင့် မြို့တော်၊ (၁၄) ကူးပြောင်းရေးကာလပြဋ္ဌာန်းချက်များ နှင့် (၁၅) အထွေထွေပြဋ္ဌာန်းချက်များ တို့ဖြစ်ကြပါသည်။,1
ပြည်ထောင်စုလွှတ်တော်တွင် လွှတ်တော်ကိုယ်စားလှယ် စုစုပေါင်း ဘယ်နှစ်ဦးရှိလဲ။,ပြည်ထောင်စုလွှတ်တော်တွင် ပြည်သူ့လွှတ်တော်ကိုယ်စားလှယ် အများဆုံး ၄၄၀ ဦးနှင့် အမျိုးသားလွှတ်တော်ကိုယ်စားလှယ် အများဆုံး ၂၂၄ ဦးတို့ ပါဝင်သဖြင့် စုစုပေါင်း လွှတ်တော်ကိုယ်စားလှယ် အများဆုံး ၆၆၄ ဦး ရှိပါသည်။,1
အမျိုးသားလွှတ်တော်တွင် လွှတ်တော်ကိုယ်စားလှယ် ဘယ်နှစ်ဦးရှိလဲ။,အမျိုးသားလွှတ်တော်တွင် လွှတ်တော်ကိုယ်စားလှယ်ဦးရေ အများဆုံး ၂၂၄ ဦး ရှိပါသည်။,1
ပြည်သူ့လွှတ်တော်တွင် လွှတ်တော်ကိုယ်စားလှယ် ဘယ်နှစ်ဦးရှိလဲ။,ပြည်သူ့လွှတ်တော်တွင် လွှတ်တော်ကိုယ်စားလှယ်ဦးရေ အများဆုံး ၄၄၀ ဦး ရှိပါသည်။,1
အမျိုးသားလွှတ်တော်တွင် တပ်မတော်သား လွှတ်တော်ကိုယ်စားလှယ် ဘယ်နှစ်ဦးရှိလဲ။,အမျိုးသားလွှတ်တော်တွင် တပ်မတော်သား လွှတ်တော်ကိုယ်စားလှယ် ၅၆ ဦး ရှိပါသည်။,1
ပြည်သူ့လွှတ်တော်တွင် တပ်မတော်သား လွှတ်တော်ကိုယ်စားလှယ် ဘယ်နှစ်ဦးရှိလဲ။,ပြည်သူ့လွှတ်တော်တွင် တပ်မတော်သား လွှတ်တော်ကိုယ်စားလှယ် ၁၁၀ ဦး ရှိပါသည်။,1
လွှတ်တော်နှစ်ရပ်ပေါင်းတွင် တပ်မတော်သားလွှတ်တော်ကိုယ်စားလှယ် စုစုပေါင်း ဘယ်နှစ်ယောက်ရှိလဲ။,လွှတ်တော်နှစ်ရပ်ပေါင်း (ပြည်သူ့လွှတ်တော်နှင့် အမျိုးသားလွှတ်တော်) တွင် တပ်မတော်သားလွှတ်တော်ကိုယ်စားလှယ် စုစုပေါင်း ၁၆၆ ဦး (ပြည်သူ့လွှတ်တော်တွင် ၁၁၀ ဦး + အမျိုးသားလွှတ်တော်တွင် ၅၆ ဦး) ရှိပါသည်။,1
